Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Transistor Type","Current - Collector (Ic) (Max)","Voltage - Collector Emitter Breakdown (Max)","Resistor - Base (R1) (Ohms)","Vce Saturation (Max) @ Ib, Ic","Current - Collector Cutoff (Max)","Resistor - Emitter Base (R2) (Ohms)","DC Current Gain (hFE) (Min) @ Ic, Vce","Power - Max","Frequency - Transition","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package"
https://www.fairchildsemi.com/datasheets/KS/KSA812.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg,KSA812GMTF-ND,KSA812GMTF,Fairchild Semiconductor,TRANS PNP 50V 0.1A SOT-23,0,0,"Call","0","9000","Tape & Reel (TR)","-","Obsolete","PNP","100mA","50V","300mV @ 10mA, 100mA","100nA (ICBO)","200 @ 1mA, 6V","150mW","180MHz","150°C (TJ)","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3"
-,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",KSC1675OBU-ND,KSC1675OBU,Fairchild Semiconductor,TRANS NPN 30V 0.05A TO-92,0,0,"Call","0","60000","Bulk","-","Obsolete","NPN","50mA","30V","300mV @ 1mA, 10mA","100nA (ICBO)","70 @ 1mA, 6V","250mW","300MHz","-","Through Hole","TO-226-3, TO-92-3 (TO-226AA)","TO-92-3"
-,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",KSC1675YTA-ND,KSC1675YTA,Fairchild Semiconductor,TRANS NPN 30V 0.05A TO-92,0,0,"Call","0","56000","Tape & Box (TB)","-","Obsolete","NPN","50mA","30V","300mV @ 1mA, 10mA","100nA (ICBO)","120 @ 1mA, 6V","250mW","300MHz","-","Through Hole","TO-226-3, TO-92-3 (TO-226AA) (Formed Leads)","TO-92-3"
https://www.fairchildsemi.com/datasheets/KS/KSC388.pdf,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",KSC388YTA-ND,KSC388YTA,Fairchild Semiconductor,TRANS NPN 25V 0.05A TO-92,0,0,"Call","0","2000","Tape & Box (TB)","-","Obsolete","NPN","50mA","25V","200mV @ 1.5mA, 15mA","100nA (ICBO)","20 @ 12.5mA, 12.5V","300mW","300MHz","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA) (Formed Leads)","TO-92-3"
https://www.fairchildsemi.com/datasheets/KS/KSA812.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg,KSA812OMTF-ND,KSA812OMTF,Fairchild Semiconductor,TRANS PNP 50V 0.1A SOT-23,0,0,"Call","0","3000","Tape & Reel (TR)","-","Obsolete","PNP","100mA","50V","300mV @ 10mA, 100mA","100nA (ICBO)","90 @ 1mA, 6V","150mW","180MHz","150°C (TJ)","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3"
https://www.fairchildsemi.com/datasheets/KS/KSA812.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg,KSA812GAMTF-ND,KSA812GAMTF,Fairchild Semiconductor,TRANS PNP 50V 0.1A SOT-23,0,0,"Call","0","3000","Tape & Reel (TR)","-","Obsolete","PNP","100mA","50V","300mV @ 10mA, 100mA","100nA (ICBO)","200 @ 1mA, 6V","150mW","180MHz","150°C (TJ)","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3"
//media.digikey.com/pdf/Data%20Sheets/Fairchild%20PDFs/KSC1187.pdf,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",KSC1187OTA-ND,KSC1187OTA,Fairchild Semiconductor,TRANS NPN 20V 0.03A TO-92,0,0,"Call","0","2000","Tape & Box (TB)","-","Obsolete","NPN","30mA","20V","-","100nA (ICBO)","70 @ 2mA, 10V","250mW","700MHz","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA) (Formed Leads)","TO-92-3"
https://www.fairchildsemi.com/datasheets/KS/KSA812.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg,KSA812LMTF-ND,KSA812LMTF,Fairchild Semiconductor,TRANS PNP 50V 0.1A SOT-23,0,0,"Call","0","9000","Tape & Reel (TR)","-","Obsolete","PNP","100mA","50V","300mV @ 10mA, 100mA","100nA (ICBO)","300 @ 1mA, 6V","150mW","180MHz","150°C (TJ)","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3"
https://www.fairchildsemi.com/datasheets/KS/KSC388.pdf,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",KSC388CYBU-ND,KSC388CYBU,Fairchild Semiconductor,TRANS NPN 25V 0.05A TO-92,0,0,"Call","0","10000","Bulk","-","Obsolete","NPN","50mA","25V","200mV @ 1.5mA, 15mA","100nA (ICBO)","20 @ 12.5mA, 12.5V","300mW","300MHz","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA)","TO-92-3"
https://www.fairchildsemi.com/datasheets/KS/KSC388.pdf,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",KSC388CTA-ND,KSC388CTA,Fairchild Semiconductor,TRANS NPN 25V 0.05A TO-92,0,0,"Call","0","2000","Tape & Box (TB)","-","Obsolete","NPN","50mA","25V","200mV @ 1.5mA, 15mA","100nA (ICBO)","20 @ 12.5mA, 12.5V","300mW","300MHz","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA) (Formed Leads)","TO-92-3"
