Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Transistor Type","Current - Collector (Ic) (Max)","Voltage - Collector Emitter Breakdown (Max)","Resistor - Base (R1) (Ohms)","Vce Saturation (Max) @ Ib, Ic","Current - Collector Cutoff (Max)","Resistor - Emitter Base (R2) (Ohms)","DC Current Gain (hFE) (Min) @ Ic, Vce","Power - Max","Frequency - Transition","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package"
http://www.onsemi.com/pub_link/Collateral/MJD112-D.PDF,//media.digikey.com/Renders/On%20Semi%20Renders/DPAK_369C.jpg,MJD112RLGOSTR-ND,MJD112RLG,ON Semiconductor,TRANS NPN DARL 100V 2A DPAK,3600,54000,"0.23817","0","1800","Tape & Reel (TR)","-","Active","NPN - Darlington","2A","100V","3V @ 40mA, 4A","20µA","1000 @ 2A, 3V","1.75W","25MHz","-65°C ~ 150°C (TJ)","Surface Mount","TO-252-3, DPak (2 Leads + Tab), SC-63","DPAK-3"
http://www.onsemi.com/pub_link/Collateral/MJD112-D.PDF,//media.digikey.com/Renders/On%20Semi%20Renders/DPAK_369C.jpg,MJD112RLGOSCT-ND,MJD112RLG,ON Semiconductor,TRANS NPN DARL 100V 2A DPAK,3787,54000,"0.56000","0","1","Cut Tape (CT)","-","Active","NPN - Darlington","2A","100V","3V @ 40mA, 4A","20µA","1000 @ 2A, 3V","1.75W","25MHz","-65°C ~ 150°C (TJ)","Surface Mount","TO-252-3, DPak (2 Leads + Tab), SC-63","DPAK-3"
http://www.onsemi.com/pub_link/Collateral/MJD112-D.PDF,//media.digikey.com/Renders/On%20Semi%20Renders/DPAK_369C.jpg,MJD112RLGOSDKR-ND,MJD112RLG,ON Semiconductor,TRANS NPN DARL 100V 2A DPAK,3787,54000,"Calculate","0","1","Digi-Reel®","-","Active","NPN - Darlington","2A","100V","3V @ 40mA, 4A","20µA","1000 @ 2A, 3V","1.75W","25MHz","-65°C ~ 150°C (TJ)","Surface Mount","TO-252-3, DPak (2 Leads + Tab), SC-63","DPAK-3"
https://www.fairchildsemi.com/datasheets/BC/BC327.pdf,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",BC32725BUFS-ND,BC32725BU,Fairchild Semiconductor,TRANS PNP 45V 0.8A TO-92,13601,60000,"0.24000","0","1","Bulk","-","Active","PNP","800mA","45V","700mV @ 50mA, 500mA","100nA","160 @ 100mA, 1V","625mW","100MHz","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA)","TO-92-3"
https://www.fairchildsemi.com/datasheets/BC/BC337.pdf,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",BC33740BU-ND,BC33740BU,Fairchild Semiconductor,TRANS NPN 45V 0.8A TO-92,12589,0,"0.24000","0","1","Bulk","-","Active","NPN","800mA","45V","700mV @ 50mA, 500mA","100nA","250 @ 100mA, 1V","625mW","100MHz","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA)","TO-92-3"
https://www.fairchildsemi.com/datasheets/KS/KSP92.pdf,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",KSP92BU-ND,KSP92BU,Fairchild Semiconductor,TRANS PNP 300V 0.5A TO-92,10586,0,"0.24000","0","1","Bulk","-","Active","PNP","500mA","300V","500mV @ 2mA, 20mA","250nA (ICBO)","25 @ 30mA, 10V","625mW","50MHz","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA)","TO-92-3"
https://www.fairchildsemi.com/datasheets/SS/SS8550.pdf,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",SS8550BBUFS-ND,SS8550BBU,Fairchild Semiconductor,TRANS PNP 25V 1.5A TO-92,8593,60000,"0.24000","0","1","Bulk","-","Active","PNP","1.5A","25V","500mV @ 80mA, 800mA","100nA (ICBO)","85 @ 100mA, 1V","1W","200MHz","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA)","TO-92-3"
https://www.fairchildsemi.com/datasheets/SS/SS8550.pdf,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",SS8550CBU-ND,SS8550CBU,Fairchild Semiconductor,TRANS PNP 25V 1.5A TO-92,8278,20000,"0.24000","0","1","Bulk","-","Active","PNP","1.5A","25V","500mV @ 80mA, 800mA","100nA (ICBO)","120 @ 100mA, 1V","1W","200MHz","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA)","TO-92-3"
http://www.nxp.com/documents/data_sheet/PBHV9560Z.pdf,//media.digikey.com/Renders/NXP%20Semi%20Renders/568;SOT223;Z;4.jpg,568-12671-2-ND,PBHV9560ZX,NXP USA Inc.,IC TRANS PNP 600V 0.5A SC73,2000,0,"0.24000","0","1000","Tape & Reel (TR)","-","Active","PNP","500mA","600V","250mV @ 5mA, 50mA","100nA","70 @ 50mA, 10V","650mW","38MHz","150°C (TJ)","Surface Mount","TO-261-4, TO-261AA","SC-73"
http://www.nxp.com/documents/data_sheet/PBHV9560Z.pdf,//media.digikey.com/Renders/NXP%20Semi%20Renders/568;SOT223;Z;4.jpg,568-12671-1-ND,PBHV9560ZX,NXP USA Inc.,IC TRANS PNP 600V 0.5A SC73,2349,0,"0.58000","0","1","Cut Tape (CT)","-","Active","PNP","500mA","600V","250mV @ 5mA, 50mA","100nA","70 @ 50mA, 10V","650mW","38MHz","150°C (TJ)","Surface Mount","TO-261-4, TO-261AA","SC-73"
http://www.nxp.com/documents/data_sheet/PBHV9560Z.pdf,//media.digikey.com/Renders/NXP%20Semi%20Renders/568;SOT223;Z;4.jpg,568-12671-6-ND,PBHV9560ZX,NXP USA Inc.,IC TRANS PNP 600V 0.5A SC73,2349,0,"Calculate","0","1","Digi-Reel®","-","Active","PNP","500mA","600V","250mV @ 5mA, 50mA","100nA","70 @ 50mA, 10V","650mW","38MHz","150°C (TJ)","Surface Mount","TO-261-4, TO-261AA","SC-73"
https://www.fairchildsemi.com/datasheets/SS/SS8550.pdf,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",SS8550DBU-ND,SS8550DBU,Fairchild Semiconductor,TRANS PNP 25V 1.5A TO-92,1677,0,"0.24000","0","1","Bulk","-","Active","PNP","1.5A","25V","500mV @ 80mA, 800mA","100nA (ICBO)","160 @ 100mA, 1V","1W","200MHz","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA)","TO-92-3"
https://www.fairchildsemi.com/datasheets/KS/KSH112.pdf,"//media.digikey.com/Photos/Fairchild%20Semi%20Photos/TO-252-3,%20DPak%20(2%20Leads%20+%20Tab),%20SC-63.JPG",KSH112TMTR-ND,KSH112TM,Fairchild Semiconductor,TRANS NPN DARL 100V 2A DPAK,2500,0,"0.24360","0","2500","Tape & Reel (TR)","-","Active","NPN - Darlington","2A","100V","3V @ 40mA, 4A","20µA","1000 @ 2A, 3V","1.75W","25MHz","150°C (TJ)","Surface Mount","TO-252-3, DPak (2 Leads + Tab), SC-63","D-Pak"
https://www.fairchildsemi.com/datasheets/KS/KSH112.pdf,"//media.digikey.com/Photos/Fairchild%20Semi%20Photos/TO-252-3,%20DPak%20(2%20Leads%20+%20Tab),%20SC-63.JPG",KSH112TMCT-ND,KSH112TM,Fairchild Semiconductor,TRANS NPN DARL 100V 2A DPAK,2500,0,"0.65000","0","1","Cut Tape (CT)","-","Active","NPN - Darlington","2A","100V","3V @ 40mA, 4A","20µA","1000 @ 2A, 3V","1.75W","25MHz","150°C (TJ)","Surface Mount","TO-252-3, DPak (2 Leads + Tab), SC-63","D-Pak"
https://www.fairchildsemi.com/datasheets/KS/KSH112.pdf,"//media.digikey.com/Photos/Fairchild%20Semi%20Photos/TO-252-3,%20DPak%20(2%20Leads%20+%20Tab),%20SC-63.JPG",KSH112TMDKR-ND,KSH112TM,Fairchild Semiconductor,TRANS NPN DARL 100V 2A DPAK,2500,1596,"Calculate","0","1","Digi-Reel®","-","Active","NPN - Darlington","2A","100V","3V @ 40mA, 4A","20µA","1000 @ 2A, 3V","1.75W","25MHz","150°C (TJ)","Surface Mount","TO-252-3, DPak (2 Leads + Tab), SC-63","D-Pak"
http://www.st.com/content/ccc/resource/technical/document/datasheet/group2/8c/24/e7/e5/2b/9b/46/95/CD00003290/files/CD00003290.pdf/jcr:content/translations/en.CD00003290.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-252-3.jpg,497-15633-2-ND,STD1802T4,STMicroelectronics,TRANS NPN 60V 3A DPAK,5000,0,"0.24650","0","2500","Tape & Reel (TR)","-","Active","NPN","3A","60V","400mV @ 150mA, 3A","100nA (ICBO)","200 @ 100mA, 2V","15W","150MHz","150°C (TJ)","Surface Mount","TO-252-3, DPak (2 Leads + Tab), SC-63","TO-252, (D-Pak)"
http://www.st.com/content/ccc/resource/technical/document/datasheet/group2/8c/24/e7/e5/2b/9b/46/95/CD00003290/files/CD00003290.pdf/jcr:content/translations/en.CD00003290.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-252-3.jpg,497-15633-1-ND,STD1802T4,STMicroelectronics,TRANS NPN 60V 3A DPAK,5861,0,"0.66000","0","1","Cut Tape (CT)","-","Active","NPN","3A","60V","400mV @ 150mA, 3A","100nA (ICBO)","200 @ 100mA, 2V","15W","150MHz","150°C (TJ)","Surface Mount","TO-252-3, DPak (2 Leads + Tab), SC-63","TO-252, (D-Pak)"
http://www.st.com/content/ccc/resource/technical/document/datasheet/group2/8c/24/e7/e5/2b/9b/46/95/CD00003290/files/CD00003290.pdf/jcr:content/translations/en.CD00003290.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-252-3.jpg,497-15633-6-ND,STD1802T4,STMicroelectronics,TRANS NPN 60V 3A DPAK,5861,0,"Calculate","0","1","Digi-Reel®","-","Active","NPN","3A","60V","400mV @ 150mA, 3A","100nA (ICBO)","200 @ 100mA, 2V","15W","150MHz","150°C (TJ)","Surface Mount","TO-252-3, DPak (2 Leads + Tab), SC-63","TO-252, (D-Pak)"
https://www.fairchildsemi.com/datasheets/SS/SS8050.pdf,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",SS8050CBU-ND,SS8050CBU,Fairchild Semiconductor,TRANS NPN 25V 1.5A TO-92,9464,0,"0.25000","0","1","Bulk","-","Active","NPN","1.5A","25V","500mV @ 80mA, 800mA","100nA (ICBO)","120 @ 100mA, 1V","1W","100MHz","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA)","TO-92-3"
https://www.fairchildsemi.com/datasheets/KS/KSP42.pdf,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",KSP42BU-ND,KSP42BU,Fairchild Semiconductor,TRANS NPN 300V 0.5A TO-92,5010,0,"0.25000","0","1","Bulk","-","Active","NPN","500mA","300V","500mV @ 2mA, 20mA","100nA (ICBO)","40 @ 30mA, 10V","625mW","50MHz","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA)","TO-92-3"
https://www.fairchildsemi.com/datasheets/2N/2N6517.pdf,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",2N6517BU-ND,2N6517BU,Fairchild Semiconductor,TRANS NPN 350V 0.5A TO-92,2392,20000,"0.25000","0","1","Bulk","-","Active","NPN","500mA","350V","1V @ 5mA, 50mA","50nA (ICBO)","20 @ 50mA, 10V","625mW","200MHz","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA)","TO-92-3"
https://www.fairchildsemi.com/datasheets/SS/SS8050.pdf,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",SS8050DBU-ND,SS8050DBU,Fairchild Semiconductor,TRANS NPN 25V 1.5A TO-92,2557,410000,"0.25000","0","1","Bulk","-","Active","NPN","1.5A","25V","500mV @ 80mA, 800mA","100nA (ICBO)","160 @ 100mA, 1V","1W","100MHz","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA)","TO-92-3"
http://www.diodes.com/_files/datasheets/FCX658A.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT89-3L.jpg,FCX658ATR-ND,FCX658ATA,Diodes Incorporated,TRANS NPN 400V 0.5A SOT-89,6000,0,"0.25330","0","1000","Tape & Reel (TR)","-","Active","NPN","500mA","400V","200mV @ 10mA, 100mA","100nA","35 @ 200mA, 10V","1W","50MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-243AA","SOT-89-3"
http://www.diodes.com/_files/datasheets/FCX658A.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT89-3L.jpg,FCX658ACT-ND,FCX658ATA,Diodes Incorporated,TRANS NPN 400V 0.5A SOT-89,7698,0,"0.58000","0","1","Cut Tape (CT)","-","Active","NPN","500mA","400V","200mV @ 10mA, 100mA","100nA","35 @ 200mA, 10V","1W","50MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-243AA","SOT-89-3"
http://www.diodes.com/_files/datasheets/FCX658A.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT89-3L.jpg,FCX658ADKR-ND,FCX658ATA,Diodes Incorporated,TRANS NPN 400V 0.5A SOT-89,7698,0,"Calculate","0","1","Digi-Reel®","-","Active","NPN","500mA","400V","200mV @ 10mA, 100mA","100nA","35 @ 200mA, 10V","1W","50MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-243AA","SOT-89-3"
http://www.diodes.com/_files/datasheets/FCX705.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT89-3L.jpg,FCX705TR-ND,FCX705TA,Diodes Incorporated,TRANS PNP DARL 120V 1A SOT-89,4000,84000,"0.25330","0","1000","Tape & Reel (TR)","-","Active","PNP - Darlington","1A","120V","2.5V @ 2mA, 2A","10µA","3000 @ 1A, 5V","1W","160MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-243AA","SOT-89-3"
http://www.diodes.com/_files/datasheets/FCX705.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT89-3L.jpg,FCX705CT-ND,FCX705TA,Diodes Incorporated,TRANS PNP DARL 120V 1A SOT-89,4247,84000,"0.58000","0","1","Cut Tape (CT)","-","Active","PNP - Darlington","1A","120V","2.5V @ 2mA, 2A","10µA","3000 @ 1A, 5V","1W","160MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-243AA","SOT-89-3"
http://www.diodes.com/_files/datasheets/FCX705.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT89-3L.jpg,FCX705DKR-ND,FCX705TA,Diodes Incorporated,TRANS PNP DARL 120V 1A SOT-89,4247,84000,"Calculate","0","1","Digi-Reel®","-","Active","PNP - Darlington","1A","120V","2.5V @ 2mA, 2A","10µA","3000 @ 1A, 5V","1W","160MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-243AA","SOT-89-3"
http://www.nxp.com/documents/data_sheet/PBSS5540Z.pdf,//media.digikey.com/photos/NXP%20Semi%20Photos/568-SOT-223(SC-73)SOT223-1.jpg,568-4172-2-ND,"PBSS5540Z,115",NXP USA Inc.,TRANS PNP 40V 5A SOT223,3000,0,"0.25920","0","1000","Tape & Reel (TR)","-","Active","PNP","5A","40V","160mV @ 200mA, 2A","100nA (ICBO)","150 @ 2A, 2V","2W","120MHz","150°C (TJ)","Surface Mount","TO-261-4, TO-261AA","SC-73"
http://www.nxp.com/documents/data_sheet/PBSS5540Z.pdf,//media.digikey.com/photos/NXP%20Semi%20Photos/568-SOT-223(SC-73)SOT223-1.jpg,568-4172-1-ND,"PBSS5540Z,115",NXP USA Inc.,TRANS PNP 40V 5A SOT223,3943,0,"0.63000","0","1","Cut Tape (CT)","-","Active","PNP","5A","40V","160mV @ 200mA, 2A","100nA (ICBO)","150 @ 2A, 2V","2W","120MHz","150°C (TJ)","Surface Mount","TO-261-4, TO-261AA","SC-73"
http://www.nxp.com/documents/data_sheet/PBSS5540Z.pdf,//media.digikey.com/photos/NXP%20Semi%20Photos/568-SOT-223(SC-73)SOT223-1.jpg,568-4172-6-ND,"PBSS5540Z,115",NXP USA Inc.,TRANS PNP 40V 5A SOT223,3943,0,"Calculate","0","1","Digi-Reel®","-","Active","PNP","5A","40V","160mV @ 200mA, 2A","100nA (ICBO)","150 @ 2A, 2V","2W","120MHz","150°C (TJ)","Surface Mount","TO-261-4, TO-261AA","SC-73"
http://www.diodes.com/_files/datasheets/ZXT13P40DE6.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT-23-6%20PKG.jpg,ZXT13P40DE6TR-ND,ZXT13P40DE6TA,Diodes Incorporated,TRANS PNP 40V 3A SOT23-6,69000,9000,"0.26100","0","3000","Tape & Reel (TR)","-","Active","PNP","3A","40V","240mV @ 300mA, 3A","100nA","300 @ 1A, 2V","1.1W","115MHz","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23-6","SOT-26"
http://www.diodes.com/_files/datasheets/ZXT13P40DE6.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT-23-6%20PKG.jpg,ZXT13P40DE6CT-ND,ZXT13P40DE6TA,Diodes Incorporated,TRANS PNP 40V 3A SOT23-6,71244,9000,"0.70000","0","1","Cut Tape (CT)","-","Active","PNP","3A","40V","240mV @ 300mA, 3A","100nA","300 @ 1A, 2V","1.1W","115MHz","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23-6","SOT-26"
http://www.diodes.com/_files/datasheets/ZXT13N50DE6.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT-23-6%20PKG.jpg,ZXT13N50DE6TR-ND,ZXT13N50DE6TA,Diodes Incorporated,TRANS NPN 50V 4A SOT23-6,27000,0,"0.26100","0","3000","Tape & Reel (TR)","-","Active","NPN","4A","50V","180mV @ 400mA, 4A","100nA","300 @ 1A, 2V","1.1W","115MHz","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23-6","SOT-26"
http://www.diodes.com/_files/datasheets/ZXT13N50DE6.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT-23-6%20PKG.jpg,ZXT13N50DE6CT-ND,ZXT13N50DE6TA,Diodes Incorporated,TRANS NPN 50V 4A SOT23-6,29877,0,"0.70000","0","1","Cut Tape (CT)","-","Active","NPN","4A","50V","180mV @ 400mA, 4A","100nA","300 @ 1A, 2V","1.1W","115MHz","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23-6","SOT-26"
http://www.diodes.com/_files/datasheets/ZXTN19100CFF.pdf,//media.digikey.com/renders/Zetex%20Renders/SOT-23-3%20Flat%20Leads%20PKG.jpg,ZXTN19100CFFTR-ND,ZXTN19100CFFTA,Diodes Incorporated,TRANS NPN 100V 4.5A SOT23F-3,12000,0,"0.26825","0","3000","Tape & Reel (TR)","-","Active","NPN","4.5A","100V","235mV @ 450mA, 4.5A","50nA (ICBO)","200 @ 100mA, 2V","1.5W","150MHz","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23-3 Flat Leads","SOT-23F"
http://www.diodes.com/_files/datasheets/ZXTN19100CFF.pdf,//media.digikey.com/renders/Zetex%20Renders/SOT-23-3%20Flat%20Leads%20PKG.jpg,ZXTN19100CFFCT-ND,ZXTN19100CFFTA,Diodes Incorporated,TRANS NPN 100V 4.5A SOT23F-3,13648,0,"0.71000","0","1","Cut Tape (CT)","-","Active","NPN","4.5A","100V","235mV @ 450mA, 4.5A","50nA (ICBO)","200 @ 100mA, 2V","1.5W","150MHz","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23-3 Flat Leads","SOT-23F"
http://www.diodes.com/_files/datasheets/ZXTN19100CFF.pdf,//media.digikey.com/renders/Zetex%20Renders/SOT-23-3%20Flat%20Leads%20PKG.jpg,ZXTN19100CFFDKR-ND,ZXTN19100CFFTA,Diodes Incorporated,TRANS NPN 100V 4.5A SOT23F-3,13648,0,"Calculate","0","1","Digi-Reel®","-","Active","NPN","4.5A","100V","235mV @ 450mA, 4.5A","50nA (ICBO)","200 @ 100mA, 2V","1.5W","150MHz","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23-3 Flat Leads","SOT-23F"
http://www.diodes.com/_files/datasheets/ZXTP19100CFF.pdf,//media.digikey.com/renders/Zetex%20Renders/SOT-23-3%20Flat%20Leads%20PKG.jpg,ZXTP19100CFFTR-ND,ZXTP19100CFFTA,Diodes Incorporated,TRANS PNP 100V 2A SOT23F-3,3000,0,"0.26825","0","3000","Tape & Reel (TR)","-","Active","PNP","2A","100V","275mV @ 200mA, 2A","50nA (ICBO)","200 @ 100mA, 2V","1.5W","142MHz","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23-3 Flat Leads","SOT-23F"
http://www.diodes.com/_files/datasheets/ZXTP19100CFF.pdf,//media.digikey.com/renders/Zetex%20Renders/SOT-23-3%20Flat%20Leads%20PKG.jpg,ZXTP19100CFFCT-ND,ZXTP19100CFFTA,Diodes Incorporated,TRANS PNP 100V 2A SOT23F-3,4198,0,"0.71000","0","1","Cut Tape (CT)","-","Active","PNP","2A","100V","275mV @ 200mA, 2A","50nA (ICBO)","200 @ 100mA, 2V","1.5W","142MHz","-55°C ~ 150°C (TJ)","Surface Mount","SOT-23-3 Flat Leads","SOT-23F"
