Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Transistor Type","Current - Collector (Ic) (Max)","Voltage - Collector Emitter Breakdown (Max)","Resistor - Base (R1) (Ohms)","Vce Saturation (Max) @ Ib, Ic","Current - Collector Cutoff (Max)","Resistor - Emitter Base (R2) (Ohms)","DC Current Gain (hFE) (Min) @ Ic, Vce","Power - Max","Frequency - Transition","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package"
http://www.diodes.com/_files/datasheets/ds30941.pdf,//media.digikey.com/Photos/Diodes%20Photos/MFG_AZ1117I-SOT223.jpg,DZT953DIDKR-ND,DZT953-13,Diodes Incorporated,TRANS PNP 100V 5A SOT223,4879,0,"Calculate","0","1","Digi-Reel®","-","Active","PNP","5A","100V","420mV @ 400mA, 4A","50nA (ICBO)","100 @ 1A, 1V","1W","125MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-261-4, TO-261AA","SOT-223"
http://www.onsemi.com/pub_link/Collateral/MJD41C-D.PDF,//media.digikey.com/Renders/On%20Semi%20Renders/DPAK_369C.jpg,MJD42CT4GOSTR-ND,MJD42CT4G,ON Semiconductor,TRANS PNP 100V 6A DPAK,5000,0,"0.23345","0","2500","Tape & Reel (TR)","-","Active","PNP","6A","100V","1.5V @ 600mA, 6A","50µA","15 @ 3A, 4V","1.75W","3MHz","-65°C ~ 150°C (TJ)","Surface Mount","TO-252-3, DPak (2 Leads + Tab), SC-63","DPAK-3"
http://www.onsemi.com/pub_link/Collateral/MJD41C-D.PDF,//media.digikey.com/Renders/On%20Semi%20Renders/DPAK_369C.jpg,MJD42CT4GOSCT-ND,MJD42CT4G,ON Semiconductor,TRANS PNP 100V 6A DPAK,5884,0,"0.62000","0","1","Cut Tape (CT)","-","Active","PNP","6A","100V","1.5V @ 600mA, 6A","50µA","15 @ 3A, 4V","1.75W","3MHz","-65°C ~ 150°C (TJ)","Surface Mount","TO-252-3, DPak (2 Leads + Tab), SC-63","DPAK-3"
http://www.onsemi.com/pub_link/Collateral/MJD41C-D.PDF,//media.digikey.com/Renders/On%20Semi%20Renders/DPAK_369C.jpg,MJD42CT4GOSDKR-ND,MJD42CT4G,ON Semiconductor,TRANS PNP 100V 6A DPAK,5884,0,"Calculate","0","1","Digi-Reel®","-","Active","PNP","6A","100V","1.5V @ 600mA, 6A","50µA","15 @ 3A, 4V","1.75W","3MHz","-65°C ~ 150°C (TJ)","Surface Mount","TO-252-3, DPak (2 Leads + Tab), SC-63","DPAK-3"
https://www.fairchildsemi.com/datasheets/MJ/MJD44H11.pdf,"//media.digikey.com/Photos/Fairchild%20Semi%20Photos/TO-252-3,%20DPak%20(2%20Leads%20+%20Tab),%20SC-63.JPG",MJD44H11TMTR-ND,MJD44H11TM,Fairchild Semiconductor,TRANS NPN 80V 8A DPAK,45000,2500,"0.23446","0","2500","Tape & Reel (TR)","-","Active","NPN","8A","80V","1V @ 400mA, 8A","10µA","40 @ 4A, 1V","1.75W","50MHz","150°C (TJ)","Surface Mount","TO-252-3, DPak (2 Leads + Tab), SC-63","TO-252-3"
https://www.fairchildsemi.com/datasheets/MJ/MJD44H11.pdf,"//media.digikey.com/Photos/Fairchild%20Semi%20Photos/TO-252-3,%20DPak%20(2%20Leads%20+%20Tab),%20SC-63.JPG",MJD44H11TMCT-ND,MJD44H11TM,Fairchild Semiconductor,TRANS NPN 80V 8A DPAK,45567,2500,"0.63000","0","1","Cut Tape (CT)","-","Active","NPN","8A","80V","1V @ 400mA, 8A","10µA","40 @ 4A, 1V","1.75W","50MHz","150°C (TJ)","Surface Mount","TO-252-3, DPak (2 Leads + Tab), SC-63","TO-252-3"
https://www.fairchildsemi.com/datasheets/MJ/MJD44H11.pdf,"//media.digikey.com/Photos/Fairchild%20Semi%20Photos/TO-252-3,%20DPak%20(2%20Leads%20+%20Tab),%20SC-63.JPG",MJD44H11TMDKR-ND,MJD44H11TM,Fairchild Semiconductor,TRANS NPN 80V 8A DPAK,45567,2500,"Calculate","0","1","Digi-Reel®","-","Active","NPN","8A","80V","1V @ 400mA, 8A","10µA","40 @ 4A, 1V","1.75W","50MHz","150°C (TJ)","Surface Mount","TO-252-3, DPak (2 Leads + Tab), SC-63","TO-252-3"
http://www.diodes.com/_files/datasheets/ZXT11N20DF.pdf,"//media.digikey.com/Renders/Diodes%20Renders/TO-236-3,%20SC-59,%20SOT-23-3.jpg",ZXT11N20DFTR-ND,ZXT11N20DFTA,Diodes Incorporated,TRANS NPN 20V 2.5A SOT23-3,3000,0,"0.23490","0","3000","Tape & Reel (TR)","-","Active","NPN","2.5A","20V","130mV @ 250mA, 2.5A","100nA","300 @ 100mA, 2V","625mW","160MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3"
http://www.diodes.com/_files/datasheets/ZXT11N20DF.pdf,"//media.digikey.com/Renders/Diodes%20Renders/TO-236-3,%20SC-59,%20SOT-23-3.jpg",ZXT11N20DFCT-ND,ZXT11N20DFTA,Diodes Incorporated,TRANS NPN 20V 2.5A SOT23-3,5056,0,"0.63000","0","1","Cut Tape (CT)","-","Active","NPN","2.5A","20V","130mV @ 250mA, 2.5A","100nA","300 @ 100mA, 2V","625mW","160MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3"
http://www.diodes.com/_files/datasheets/ZXT11N20DF.pdf,"//media.digikey.com/Renders/Diodes%20Renders/TO-236-3,%20SC-59,%20SOT-23-3.jpg",ZXT11N20DFDKR-ND,ZXT11N20DFTA,Diodes Incorporated,TRANS NPN 20V 2.5A SOT23-3,5056,0,"Calculate","0","1","Digi-Reel®","-","Active","NPN","2.5A","20V","130mV @ 250mA, 2.5A","100nA","300 @ 100mA, 2V","625mW","160MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3"
