Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Transistor Type","Current - Collector (Ic) (Max)","Voltage - Collector Emitter Breakdown (Max)","Resistor - Base (R1) (Ohms)","Vce Saturation (Max) @ Ib, Ic","Current - Collector Cutoff (Max)","Resistor - Emitter Base (R2) (Ohms)","DC Current Gain (hFE) (Min) @ Ic, Vce","Power - Max","Frequency - Transition","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package"
http://www.st.com/content/ccc/resource/technical/document/datasheet/group1/ef/37/18/90/2d/6a/4f/a6/CD00001751/files/CD00001751.pdf/jcr:content/translations/en.CD00001751.pdf,//media.digikey.com/Renders/STMicro%20Renders/497;TO92-3-Formed;;3.jpg,497-12238-1-ND,STBV32-AP,STMicroelectronics,TRANS NPN 400V 1.5A TO-92,8984,0,"0.40000","0","1","Cut Tape (CT)","-","Active","NPN","1.5A","400V","1.5V @ 500mA, 1.5A","1mA","5 @ 1A, 2V","1.5W","-","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA) (Formed Leads)","TO-92AP"
//media.digikey.com/pdf/Data%20Sheets/Philips%20Semiconductor%20PDFs/PBSS3515M%20.pdf,//media.digikey.com/Renders/NXP%20Semi%20Renders/SC-101_SOT-883.jpg,568-7286-2-ND,"PBSS3515M,315",NXP USA Inc.,TRANS PNP 15V 0.5A SOT883,10000,0,"0.08727","0","10000","Tape & Reel (TR)","-","Active","PNP","500mA","15V","250mV @ 50mA, 500mA","100nA (ICBO)","150 @ 100mA, 2V","430mW","280MHz","150°C (TJ)","Surface Mount","SC-101, SOT-883","DFN1006-3"
//media.digikey.com/pdf/Data%20Sheets/Philips%20Semiconductor%20PDFs/PBSS3515M%20.pdf,//media.digikey.com/Renders/NXP%20Semi%20Renders/SC-101_SOT-883.jpg,568-7286-1-ND,"PBSS3515M,315",NXP USA Inc.,TRANS PNP 15V 0.5A SOT883,9909,0,"0.47000","0","1","Cut Tape (CT)","-","Discontinued","PNP","500mA","15V","250mV @ 50mA, 500mA","100nA (ICBO)","150 @ 100mA, 2V","430mW","280MHz","150°C (TJ)","Surface Mount","SC-101, SOT-883","DFN1006-3"
//media.digikey.com/pdf/Data%20Sheets/Philips%20Semiconductor%20PDFs/PBSS3515M%20.pdf,//media.digikey.com/Renders/NXP%20Semi%20Renders/SC-101_SOT-883.jpg,568-7286-6-ND,"PBSS3515M,315",NXP USA Inc.,TRANS PNP 15V 0.5A SOT883,0,0,"Calculate","0","1","Digi-Reel®","-","Discontinued","PNP","500mA","15V","250mV @ 50mA, 500mA","100nA (ICBO)","150 @ 100mA, 2V","430mW","280MHz","150°C (TJ)","Surface Mount","SC-101, SOT-883","DFN1006-3"
http://www.nxp.com/documents/data_sheet/BC51_52_53PAS_SER.pdf,//media.digikey.com/Renders/NXP%20Semi%20Renders/3-HUSON.jpg,568-12718-2-ND,BC51-10PASX,NXP USA Inc.,IC TRANS PNP 1A 45V SOT1061,3000,0,"0.08748","0","3000","Tape & Reel (TR)","-","Active","PNP","1A","45V","500mV @ 50mA, 500mA","100nA (ICBO)","63 @ 150mA, 2V","420mW","145MHz","150°C (TJ)","Surface Mount","3-SMD, No Lead","DFN2020D-3"
http://www.nxp.com/documents/data_sheet/BC51_52_53PAS_SER.pdf,//media.digikey.com/Renders/NXP%20Semi%20Renders/3-HUSON.jpg,568-12718-1-ND,BC51-10PASX,NXP USA Inc.,IC TRANS PNP 1A 45V SOT1061,2980,0,"0.41000","0","1","Cut Tape (CT)","-","Discontinued","PNP","1A","45V","500mV @ 50mA, 500mA","100nA (ICBO)","63 @ 150mA, 2V","420mW","145MHz","150°C (TJ)","Surface Mount","3-SMD, No Lead","DFN2020D-3"
http://www.nxp.com/documents/data_sheet/BC51_52_53PAS_SER.pdf,//media.digikey.com/Renders/NXP%20Semi%20Renders/3-HUSON.jpg,568-12718-6-ND,BC51-10PASX,NXP USA Inc.,IC TRANS PNP 1A 45V SOT1061,0,0,"Calculate","0","1","Digi-Reel®","-","Discontinued","PNP","1A","45V","500mV @ 50mA, 500mA","100nA (ICBO)","63 @ 150mA, 2V","420mW","145MHz","150°C (TJ)","Surface Mount","3-SMD, No Lead","DFN2020D-3"
http://www.nxp.com/documents/data_sheet/BC51_52_53PAS_SER.pdf,//media.digikey.com/Renders/NXP%20Semi%20Renders/3-HUSON.jpg,568-12719-2-ND,BC51-16PASX,NXP USA Inc.,IC TRANS PNP 1A 45V SOT1061,3000,0,"0.08748","0","3000","Tape & Reel (TR)","-","Active","PNP","1A","45V","500mV @ 50mA, 500mA","100nA (ICBO)","63 @ 150mA, 2V","420mW","145MHz","150°C (TJ)","Surface Mount","3-SMD, No Lead","DFN2020D-3"
http://www.nxp.com/documents/data_sheet/BC51_52_53PAS_SER.pdf,//media.digikey.com/Renders/NXP%20Semi%20Renders/3-HUSON.jpg,568-12719-1-ND,BC51-16PASX,NXP USA Inc.,IC TRANS PNP 1A 45V SOT1061,2975,0,"0.41000","0","1","Cut Tape (CT)","-","Discontinued","PNP","1A","45V","500mV @ 50mA, 500mA","100nA (ICBO)","63 @ 150mA, 2V","420mW","145MHz","150°C (TJ)","Surface Mount","3-SMD, No Lead","DFN2020D-3"
http://www.nxp.com/documents/data_sheet/BC51_52_53PAS_SER.pdf,//media.digikey.com/Renders/NXP%20Semi%20Renders/3-HUSON.jpg,568-12719-6-ND,BC51-16PASX,NXP USA Inc.,IC TRANS PNP 1A 45V SOT1061,0,0,"Calculate","0","1","Digi-Reel®","-","Discontinued","PNP","1A","45V","500mV @ 50mA, 500mA","100nA (ICBO)","63 @ 150mA, 2V","420mW","145MHz","150°C (TJ)","Surface Mount","3-SMD, No Lead","DFN2020D-3"
