Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Transistor Type","Current - Collector (Ic) (Max)","Voltage - Collector Emitter Breakdown (Max)","Resistor - Base (R1) (Ohms)","Vce Saturation (Max) @ Ib, Ic","Current - Collector Cutoff (Max)","Resistor - Emitter Base (R2) (Ohms)","DC Current Gain (hFE) (Min) @ Ic, Vce","Power - Max","Frequency - Transition","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package"
http://www.diodes.com/_files/datasheets/ds31636.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT89-3L.jpg,2DC4672DICT-ND,2DC4672-13,Diodes Incorporated,TRANS NPN 50V 3A SOT89-3,5662,0,"0.48000","0","1","Cut Tape (CT)","-","Active","NPN","3A","50V","350mV @ 50mA, 1A","100nA (ICBO)","82 @ 500mA, 2V","900mW","180MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-243AA","SOT-89-3"
http://www.diodes.com/_files/datasheets/ds31636.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT89-3L.jpg,2DC4672DIDKR-ND,2DC4672-13,Diodes Incorporated,TRANS NPN 50V 3A SOT89-3,5662,0,"Calculate","0","1","Digi-Reel®","-","Active","NPN","3A","50V","350mV @ 50mA, 1A","100nA (ICBO)","82 @ 500mA, 2V","900mW","180MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-243AA","SOT-89-3"
http://www.onsemi.com/pub_link/Collateral/EN6084-D.PDF,//media.digikey.com/Renders/On%20Semi%20Renders/SOT-23-3_527AG.jpg,CPH3105-TL-EOSTR-ND,CPH3105-TL-E,ON Semiconductor,TRANS PNP 50V 3A CPH3,0,108000,"0.22010","0","3000","Tape & Reel (TR)","-","Active","PNP","3A","50V","500mV @ 100mA, 2A","1µA (ICBO)","200 @ 100mA, 2V","900mW","380MHz","150°C (TJ)","Surface Mount","TO-236-3, SC-59, SOT-23-3","3-CPH"
http://www.onsemi.com/pub_link/Collateral/EN6084-D.PDF,//media.digikey.com/Renders/On%20Semi%20Renders/SOT-23-3_527AG.jpg,CPH3105-TL-EOSCT-ND,CPH3105-TL-E,ON Semiconductor,TRANS PNP 50V 3A CPH3,2966,108000,"0.48000","0","1","Cut Tape (CT)","-","Active","PNP","3A","50V","500mV @ 100mA, 2A","1µA (ICBO)","200 @ 100mA, 2V","900mW","380MHz","150°C (TJ)","Surface Mount","TO-236-3, SC-59, SOT-23-3","3-CPH"
http://www.onsemi.com/pub_link/Collateral/EN6084-D.PDF,//media.digikey.com/Renders/On%20Semi%20Renders/SOT-23-3_527AG.jpg,CPH3105-TL-EOSDKR-ND,CPH3105-TL-E,ON Semiconductor,TRANS PNP 50V 3A CPH3,2966,108000,"Calculate","0","1","Digi-Reel®","-","Active","PNP","3A","50V","500mV @ 100mA, 2A","1µA (ICBO)","200 @ 100mA, 2V","900mW","380MHz","150°C (TJ)","Surface Mount","TO-236-3, SC-59, SOT-23-3","3-CPH"
http://www.diodes.com/_files/datasheets/ds31609.pdf,"//media.digikey.com/Renders/Diodes%20Renders/MFG_TO-252-3,D-Pak,SC-63.jpg",MJD340-13DITR-ND,MJD340-13,Diodes Incorporated,TRANS NPN 300V 0.5A DPAK,0,0,"0.20925","0","2500","Tape & Reel (TR)","-","Active","NPN","500mA","300V","-","100µA (ICBO)","30 @ 50mA, 10V","1.56W","-","-55°C ~ 150°C (TJ)","Surface Mount","TO-252-3, DPak (2 Leads + Tab), SC-63","DPAK"
http://www.diodes.com/_files/datasheets/ds31609.pdf,"//media.digikey.com/Renders/Diodes%20Renders/MFG_TO-252-3,D-Pak,SC-63.jpg",MJD340-13DICT-ND,MJD340-13,Diodes Incorporated,TRANS NPN 300V 0.5A DPAK,2905,0,"0.48000","0","1","Cut Tape (CT)","-","Active","NPN","500mA","300V","-","100µA (ICBO)","30 @ 50mA, 10V","1.56W","-","-55°C ~ 150°C (TJ)","Surface Mount","TO-252-3, DPak (2 Leads + Tab), SC-63","DPAK"
http://www.diodes.com/_files/datasheets/ds31609.pdf,"//media.digikey.com/Renders/Diodes%20Renders/MFG_TO-252-3,D-Pak,SC-63.jpg",MJD340-13DIDKR-ND,MJD340-13,Diodes Incorporated,TRANS NPN 300V 0.5A DPAK,2905,0,"Calculate","0","1","Digi-Reel®","-","Active","NPN","500mA","300V","-","100µA (ICBO)","30 @ 50mA, 10V","1.56W","-","-55°C ~ 150°C (TJ)","Surface Mount","TO-252-3, DPak (2 Leads + Tab), SC-63","DPAK"
https://www.fairchildsemi.com/datasheets/FS/FSB560.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg,FSB560ATR-ND,FSB560A,Fairchild Semiconductor,TRANS NPN 60V 2A SSOT-3,0,222000,"0.10404","0","3000","Tape & Reel (TR)","-","Active","NPN","2A","60V","300mV @ 200mA, 2A","100nA (ICBO)","250 @ 500mA, 2V","500mW","75MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-236-3, SC-59, SOT-23-3","3-SSOT"
https://www.fairchildsemi.com/datasheets/FS/FSB560.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg,FSB560ACT-ND,FSB560A,Fairchild Semiconductor,TRANS NPN 60V 2A SSOT-3,2739,222000,"0.48000","0","1","Cut Tape (CT)","-","Active","NPN","2A","60V","300mV @ 200mA, 2A","100nA (ICBO)","250 @ 500mA, 2V","500mW","75MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-236-3, SC-59, SOT-23-3","3-SSOT"
