Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Transistor Type","Current - Collector (Ic) (Max)","Voltage - Collector Emitter Breakdown (Max)","Resistor - Base (R1) (Ohms)","Vce Saturation (Max) @ Ib, Ic","Current - Collector Cutoff (Max)","Resistor - Emitter Base (R2) (Ohms)","DC Current Gain (hFE) (Min) @ Ic, Vce","Power - Max","Frequency - Transition","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package"
https://www.fairchildsemi.com/datasheets/KS/KST3906.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg,KST3906MTFDKR-ND,KST3906MTF,Fairchild Semiconductor,TRANS PNP 40V 0.2A SOT23,1950,45000,"Calculate","0","1","Digi-Reel®","-","Active","PNP","200mA","40V","400mV @ 5mA, 50mA","-","100 @ 10mA, 1V","350mW","250MHz","-","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3"
https://www.fairchildsemi.com/datasheets/BC/BCW61B.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg,BCW61BMTFTR-ND,BCW61BMTF,Fairchild Semiconductor,TRANS PNP 32V 0.1A SOT-23,0,0,"0.03213","0","3000","Tape & Reel (TR)","-","Active","PNP","100mA","32V","550mV @ 1.25mA, 50mA","20nA","140 @ 2mA, 5V","350mW","-","-","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3"
https://www.fairchildsemi.com/datasheets/BC/BCW61B.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg,BCW61BMTFCT-ND,BCW61BMTF,Fairchild Semiconductor,TRANS PNP 32V 0.1A SOT-23,1725,0,"0.19000","0","1","Cut Tape (CT)","-","Active","PNP","100mA","32V","550mV @ 1.25mA, 50mA","20nA","140 @ 2mA, 5V","350mW","-","-","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3"
https://www.fairchildsemi.com/datasheets/BC/BCW61B.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg,BCW61BMTFDKR-ND,BCW61BMTF,Fairchild Semiconductor,TRANS PNP 32V 0.1A SOT-23,1725,0,"Calculate","0","1","Digi-Reel®","-","Active","PNP","100mA","32V","550mV @ 1.25mA, 50mA","20nA","140 @ 2mA, 5V","350mW","-","-","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3"
https://www.fairchildsemi.com/datasheets/KS/KSA812.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg,KSA812YMTFFSTR-ND,KSA812YMTF,Fairchild Semiconductor,TRANS PNP 50V 0.1A SOT23,0,27000,"0.03239","0","3000","Tape & Reel (TR)","-","Active","PNP","100mA","50V","300mV @ 10mA, 100mA","100nA (ICBO)","135 @ 1mA, 6V","150mW","180MHz","150°C (TJ)","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3"
https://www.fairchildsemi.com/datasheets/KS/KSA812.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg,KSA812YMTFFSCT-ND,KSA812YMTF,Fairchild Semiconductor,TRANS PNP 50V 0.1A SOT23,1467,27000,"0.19000","0","1","Cut Tape (CT)","-","Active","PNP","100mA","50V","300mV @ 10mA, 100mA","100nA (ICBO)","135 @ 1mA, 6V","150mW","180MHz","150°C (TJ)","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3"
https://www.fairchildsemi.com/datasheets/KS/KSA812.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg,KSA812YMTFFSDKR-ND,KSA812YMTF,Fairchild Semiconductor,TRANS PNP 50V 0.1A SOT23,1467,27000,"Calculate","0","1","Digi-Reel®","-","Active","PNP","100mA","50V","300mV @ 10mA, 100mA","100nA (ICBO)","135 @ 1mA, 6V","150mW","180MHz","150°C (TJ)","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3"
http://www.diodes.com/_files/datasheets/ds11108.pdf,"//media.digikey.com/Renders/Diodes%20Renders/TO-236-3,%20SC-59,%20SOT-23-3.jpg",BC847C-FDITR-ND,BC847C-7-F,Diodes Incorporated,TRANS NPN 45V 0.1A SOT23-3,0,0,"0.03315","0","3000","Tape & Reel (TR)","-","Active","NPN","100mA","45V","600mV @ 5mA, 100mA","15nA","420 @ 2mA, 5V","300mW","300MHz","-65°C ~ 150°C (TJ)","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3"
http://www.diodes.com/_files/datasheets/ds11108.pdf,"//media.digikey.com/Renders/Diodes%20Renders/TO-236-3,%20SC-59,%20SOT-23-3.jpg",BC847C-FDICT-ND,BC847C-7-F,Diodes Incorporated,TRANS NPN 45V 0.1A SOT23-3,1059,0,"0.19000","0","1","Cut Tape (CT)","-","Active","NPN","100mA","45V","600mV @ 5mA, 100mA","15nA","420 @ 2mA, 5V","300mW","300MHz","-65°C ~ 150°C (TJ)","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3"
http://www.diodes.com/_files/datasheets/ds11108.pdf,"//media.digikey.com/Renders/Diodes%20Renders/TO-236-3,%20SC-59,%20SOT-23-3.jpg",BC847C-FDIDKR-ND,BC847C-7-F,Diodes Incorporated,TRANS NPN 45V 0.1A SOT23-3,1059,0,"Calculate","0","1","Digi-Reel®","-","Active","NPN","100mA","45V","600mV @ 5mA, 100mA","15nA","420 @ 2mA, 5V","300mW","300MHz","-65°C ~ 150°C (TJ)","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Semiconductors%20ICs%20PDFs/2SD2259.pdf,//media.digikey.com/photos/Panasonic%20Photos/MT-2.jpg,2SD225900ATB-ND,2SD225900A,Panasonic Electronic Components,TRANS NPN 20V 0.7A MT-2,2000,0,"0.19076","0","2000","Tape & Box (TB)","-","Obsolete","NPN","700mA","20V","400mV @ 50mA, 500mA","10µA","1000 @ 150mA, 10V","1W","55MHz","150°C (TJ)","Through Hole","3-SIP","MT-2-A1"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Semiconductors%20ICs%20PDFs/2SD2259.pdf,//media.digikey.com/photos/Panasonic%20Photos/MT-2.jpg,2SD225900ACT-ND,2SD225900A,Panasonic Electronic Components,TRANS NPN 20V 0.7A MT-2,3157,0,"0.45000","0","1","Cut Tape (CT)","-","Obsolete","NPN","700mA","20V","400mV @ 50mA, 500mA","10µA","1000 @ 150mA, 10V","1W","55MHz","150°C (TJ)","Through Hole","3-SIP","MT-2-A1"
