Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Transistor Type","Current - Collector (Ic) (Max)","Voltage - Collector Emitter Breakdown (Max)","Resistor - Base (R1) (Ohms)","Vce Saturation (Max) @ Ib, Ic","Current - Collector Cutoff (Max)","Resistor - Emitter Base (R2) (Ohms)","DC Current Gain (hFE) (Min) @ Ic, Vce","Power - Max","Frequency - Transition","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package"
//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/2SD1864_RevB.pdf,//media.digikey.com/renders/Rohm%20Renders/ATV_ATV%20Pkg.jpg,2SD1864TV2RTB-ND,2SD1864TV2R,Rohm Semiconductor,TRANS NPN 50V 3A ATV,0,0,"Call","0","2500","Tape & Box (TB)","-","Obsolete","NPN","3A","50V","1V @ 200mA, 2A","1µA (ICBO)","180 @ 500mA, 3V","1W","90MHz","150°C (TJ)","Through Hole","3-SIP","ATV"
//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/2SD1864_RevB.pdf,//media.digikey.com/renders/Rohm%20Renders/ATV_ATV%20Pkg.jpg,2SD1864TV2RCT-ND,2SD1864TV2R,Rohm Semiconductor,TRANS NPN 50V 3A ATV,0,0,"Call","0","1","Cut Tape (CT)","-","Obsolete","NPN","3A","50V","1V @ 200mA, 2A","1µA (ICBO)","180 @ 500mA, 3V","1W","90MHz","150°C (TJ)","Through Hole","3-SIP","ATV"
"//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/2sd2097,2098,2118.pdf",//media.digikey.com/renders/Rohm%20Renders/ATV_ATV%20Pkg.jpg,2SD2097TV2QTB-ND,2SD2097TV2Q,Rohm Semiconductor,TRANS NPN 20V 5A ATV,0,0,"Call","0","2500","Tape & Box (TB)","-","Obsolete","NPN","5A","20V","1V @ 100mA, 4A","500nA (ICBO)","120 @ 500mA, 2V","1W","150MHz","150°C (TJ)","Through Hole","3-SIP","ATV"
"//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/2sd2097,2098,2118.pdf",//media.digikey.com/renders/Rohm%20Renders/ATV_ATV%20Pkg.jpg,2SD2097TV2QCT-ND,2SD2097TV2Q,Rohm Semiconductor,TRANS NPN 20V 5A ATV,0,0,"Call","0","1","Cut Tape (CT)","-","Obsolete","NPN","5A","20V","1V @ 100mA, 4A","500nA (ICBO)","120 @ 500mA, 2V","1W","150MHz","150°C (TJ)","Through Hole","3-SIP","ATV"
"//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/2sd2097,2098,2118.pdf",//media.digikey.com/renders/Rohm%20Renders/ATV_ATV%20Pkg.jpg,2SD2097TV2RTB-ND,2SD2097TV2R,Rohm Semiconductor,TRANS NPN 20V 5A ATV,0,0,"Call","0","2500","Tape & Box (TB)","-","Obsolete","NPN","5A","20V","1V @ 100mA, 4A","500nA (ICBO)","180 @ 500mA, 2V","1W","150MHz","150°C (TJ)","Through Hole","3-SIP","ATV"
"//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/2sd2097,2098,2118.pdf",//media.digikey.com/renders/Rohm%20Renders/ATV_ATV%20Pkg.jpg,2SD2097TV2RCT-ND,2SD2097TV2R,Rohm Semiconductor,TRANS NPN 20V 5A ATV,0,0,"Call","0","1","Cut Tape (CT)","-","Obsolete","NPN","5A","20V","1V @ 100mA, 4A","500nA (ICBO)","180 @ 500mA, 2V","1W","150MHz","150°C (TJ)","Through Hole","3-SIP","ATV"
//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/2SB1424_2SA1585S.pdf,//media.digikey.com/renders/Rohm%20Renders/SC-72-3_SPT.jpg,2SA1585STPQTB-ND,2SA1585STPQ,Rohm Semiconductor,TRANS PNP 20V 2A SPT,0,0,"Call","0","5000","Tape & Box (TB)","-","Obsolete","PNP","2A","20V","500mV @ 100mA, 2A","100nA (ICBO)","120 @ 100mA, 2V","400mW","240MHz","150°C (TJ)","Through Hole","SC-72 Formed Leads","SPT"
//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/2SB1424_2SA1585S.pdf,//media.digikey.com/renders/Rohm%20Renders/SC-72-3_SPT.jpg,2SA1585STPQCT-ND,2SA1585STPQ,Rohm Semiconductor,TRANS PNP 20V 2A SPT,0,0,"Call","0","1","Cut Tape (CT)","-","Obsolete","PNP","2A","20V","500mV @ 100mA, 2A","100nA (ICBO)","120 @ 100mA, 2V","400mW","240MHz","150°C (TJ)","Through Hole","SC-72 Formed Leads","SPT"
//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/2SB1424_2SA1585S.pdf,//media.digikey.com/renders/Rohm%20Renders/SC-72-3_SPT.jpg,2SA1585STPRTB-ND,2SA1585STPR,Rohm Semiconductor,TRANS PNP 20V 2A SPT,0,0,"Call","0","5000","Tape & Box (TB)","-","Obsolete","PNP","2A","20V","500mV @ 100mA, 2A","100nA (ICBO)","180 @ 100mA, 2V","400mW","240MHz","150°C (TJ)","Through Hole","SC-72 Formed Leads","SPT"
//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/2SB1424_2SA1585S.pdf,//media.digikey.com/renders/Rohm%20Renders/SC-72-3_SPT.jpg,2SA1585STPRCT-ND,2SA1585STPR,Rohm Semiconductor,TRANS PNP 20V 2A SPT,0,0,"Call","0","1","Cut Tape (CT)","-","Obsolete","PNP","2A","20V","500mV @ 100mA, 2A","100nA (ICBO)","180 @ 100mA, 2V","400mW","240MHz","150°C (TJ)","Through Hole","SC-72 Formed Leads","SPT"
http://rohmfs.rohm.com/en/products/databook/datasheet/discrete/transistor/bipolar/2sa1037akt146r-e.pdf,//media.digikey.com/renders/Rohm%20Renders/SC-72-3_SPT.jpg,2SA933ASTPQTB-ND,2SA933ASTPQ,Rohm Semiconductor,TRANS PNP 50V 0.15A SPT,0,0,"Call","0","5000","Tape & Box (TB)","-","Obsolete","PNP","150mA","50V","500mV @ 5mA, 50mA","100nA (ICBO)","120 @ 1mA, 6V","300mW","140MHz","150°C (TJ)","Through Hole","SC-72 Formed Leads","SPT"
http://rohmfs.rohm.com/en/products/databook/datasheet/discrete/transistor/bipolar/2sa1037akt146r-e.pdf,//media.digikey.com/renders/Rohm%20Renders/SC-72-3_SPT.jpg,2SA933ASTPQCT-ND,2SA933ASTPQ,Rohm Semiconductor,TRANS PNP 50V 0.15A SPT,0,0,"Call","0","1","Cut Tape (CT)","-","Obsolete","PNP","150mA","50V","500mV @ 5mA, 50mA","100nA (ICBO)","120 @ 1mA, 6V","300mW","140MHz","150°C (TJ)","Through Hole","SC-72 Formed Leads","SPT"
http://rohmfs.rohm.com/en/products/databook/datasheet/discrete/transistor/bipolar/2sa1037akt146r-e.pdf,//media.digikey.com/renders/Rohm%20Renders/SC-72-3_SPT.jpg,2SA933ASTPRTB-ND,2SA933ASTPR,Rohm Semiconductor,TRANS PNP 50V 0.15A SPT,0,0,"Call","0","5000","Tape & Box (TB)","-","Obsolete","PNP","150mA","50V","500mV @ 5mA, 50mA","100nA (ICBO)","180 @ 1mA, 6V","300mW","140MHz","150°C (TJ)","Through Hole","SC-72 Formed Leads","SPT"
http://rohmfs.rohm.com/en/products/databook/datasheet/discrete/transistor/bipolar/2sa1037akt146r-e.pdf,//media.digikey.com/renders/Rohm%20Renders/SC-72-3_SPT.jpg,2SA933ASTPRCT-ND,2SA933ASTPR,Rohm Semiconductor,TRANS PNP 50V 0.15A SPT,0,0,"Call","0","1","Cut Tape (CT)","-","Obsolete","PNP","150mA","50V","500mV @ 5mA, 50mA","100nA (ICBO)","180 @ 1mA, 6V","300mW","140MHz","150°C (TJ)","Through Hole","SC-72 Formed Leads","SPT"
http://rohmfs.rohm.com/en/products/databook/datasheet/discrete/transistor/bipolar/2sa1037akt146r-e.pdf,//media.digikey.com/renders/Rohm%20Renders/SC-72-3_SPT.jpg,2SA933ASTPSTB-ND,2SA933ASTPS,Rohm Semiconductor,TRANS PNP 50V 0.15A SPT,0,0,"Call","0","5000","Tape & Box (TB)","-","Obsolete","PNP","150mA","50V","500mV @ 5mA, 50mA","100nA (ICBO)","270 @ 1mA, 6V","300mW","140MHz","150°C (TJ)","Through Hole","SC-72 Formed Leads","SPT"
http://rohmfs.rohm.com/en/products/databook/datasheet/discrete/transistor/bipolar/2sa1037akt146r-e.pdf,//media.digikey.com/renders/Rohm%20Renders/SC-72-3_SPT.jpg,2SA933ASTPSCT-ND,2SA933ASTPS,Rohm Semiconductor,TRANS PNP 50V 0.15A SPT,0,0,"Call","0","1","Cut Tape (CT)","-","Obsolete","PNP","150mA","50V","500mV @ 5mA, 50mA","100nA (ICBO)","270 @ 1mA, 6V","300mW","140MHz","150°C (TJ)","Through Hole","SC-72 Formed Leads","SPT"
"//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/2SC2412K,4081,4617,5658,1740S.pdf",//media.digikey.com/renders/Rohm%20Renders/SC-72-3_SPT.jpg,2SC1740STPQTB-ND,2SC1740STPQ,Rohm Semiconductor,TRANS NPN 50V 0.15A SPT,0,0,"Call","0","5000","Tape & Box (TB)","-","Obsolete","NPN","150mA","50V","400mV @ 5mA, 50mA","100nA (ICBO)","120 @ 1mA, 6V","300mW","180MHz","150°C (TJ)","Through Hole","SC-72 Formed Leads","SPT"
"//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/2SC2412K,4081,4617,5658,1740S.pdf",//media.digikey.com/renders/Rohm%20Renders/SC-72-3_SPT.jpg,2SC1740STPQCT-ND,2SC1740STPQ,Rohm Semiconductor,TRANS NPN 50V 0.15A SPT,0,0,"Call","0","1","Cut Tape (CT)","-","Obsolete","NPN","150mA","50V","400mV @ 5mA, 50mA","100nA (ICBO)","120 @ 1mA, 6V","300mW","180MHz","150°C (TJ)","Through Hole","SC-72 Formed Leads","SPT"
//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/2SC1741AS_RevB.pdf,//media.digikey.com/renders/Rohm%20Renders/SC-72-3_SPT.jpg,2SC1741ASTPQTB-ND,2SC1741ASTPQ,Rohm Semiconductor,TRANS NPN 50V 0.5A SPT,0,0,"Call","0","5000","Tape & Box (TB)","-","Obsolete","NPN","500mA","50V","400mV @ 15mA, 150mA","500nA (ICBO)","120 @ 100mA, 3V","300mW","250MHz","150°C (TJ)","Through Hole","SC-72 Formed Leads","SPT"
//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/2SC1741AS_RevB.pdf,//media.digikey.com/renders/Rohm%20Renders/SC-72-3_SPT.jpg,2SC1741ASTPQCT-ND,2SC1741ASTPQ,Rohm Semiconductor,TRANS NPN 50V 0.5A SPT,0,0,"Call","0","1","Cut Tape (CT)","-","Obsolete","NPN","500mA","50V","400mV @ 15mA, 150mA","500nA (ICBO)","120 @ 100mA, 3V","300mW","250MHz","150°C (TJ)","Through Hole","SC-72 Formed Leads","SPT"
//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/2SC4115S_RevB.pdf,//media.digikey.com/renders/Rohm%20Renders/SC-72-3_SPT.jpg,2SC4115STPRTB-ND,2SC4115STPR,Rohm Semiconductor,TRANS NPN 20V 2A SPT,0,0,"Call","0","5000","Tape & Box (TB)","-","Obsolete","NPN","2A","20V","500mV @ 100mA, 2A","100nA (ICBO)","180 @ 100mA, 2V","400mW","290MHz","150°C (TJ)","Through Hole","SC-72 Formed Leads","SPT"
//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/2SC4115S_RevB.pdf,//media.digikey.com/renders/Rohm%20Renders/SC-72-3_SPT.jpg,2SC4115STPRCT-ND,2SC4115STPR,Rohm Semiconductor,TRANS NPN 20V 2A SPT,0,0,"Call","0","1","Cut Tape (CT)","-","Obsolete","NPN","2A","20V","500mV @ 100mA, 2A","100nA (ICBO)","180 @ 100mA, 2V","400mW","290MHz","150°C (TJ)","Through Hole","SC-72 Formed Leads","SPT"
