Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Transistor Type","Current - Collector (Ic) (Max)","Voltage - Collector Emitter Breakdown (Max)","Resistor - Base (R1) (Ohms)","Vce Saturation (Max) @ Ib, Ic","Current - Collector Cutoff (Max)","Resistor - Emitter Base (R2) (Ohms)","DC Current Gain (hFE) (Min) @ Ic, Vce","Power - Max","Frequency - Transition","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package"
http://www.st.com/web/en/resource/technical/document/datasheet/CD00174050.pdf,//media.digikey.com/photos/STMicro%20Photos/t820t-6i.JPG,497-2588-5-ND,TIP30C,STMicroelectronics,TRANS PNP 100V 1A TO-220,0,0,"Call","0","4000","Tube","-","Obsolete","PNP","1A","100V","700mV @ 125mA, 1A","300µA","15 @ 1A, 4V","2W","-","150°C (TJ)","Through Hole","TO-220-3","TO-220AB"
//media.digikey.com/pdf/Data%20Sheets/ST%20Microelectronics%20PDFS/MJE210.pdf,//media.digikey.com/photos/STMicro%20Photos/ST13003-K.JPG,497-2589-5-ND,MJE210,STMicroelectronics,TRANS PNP 25V 5A SOT-32,0,0,"Call","0","4000","Tube","-","Obsolete","PNP","5A","25V","1.8V @ 1A, 5A","100nA (ICBO)","45 @ 2A, 1V","1.5W","65MHz","150°C (TJ)","Through Hole","TO-225AA, TO-126-3","SOT-32-3"
//media.digikey.com/pdf/Data%20Sheets/ST%20Microelectronics%20PDFS/2N6547.pdf,//media.digikey.com/photos/STMicro%20Photos/TO-3.jpg,497-2592-5-ND,2N6547,STMicroelectronics,TRANS NPN 400V 15A TO-3,0,0,"Call","0","300","Tube","-","Obsolete","NPN","15A","400V","5V @ 3A, 15A","1mA","12 @ 5A, 2V","175W","3MHz","200°C (TJ)","Chassis Mount","TO-204AA, TO-3","TO-3"
"//media.digikey.com/pdf/Data%20Sheets/ST%20Microelectronics%20PDFS/2N5415,%202N5416.pdf",//media.digikey.com/photos/STMicro%20Photos/TO-39.jpg,497-2593-5-ND,2N5415,STMicroelectronics,TRANS PNP 200V 1A TO-39,0,0,"Call","0","1200","Tube","-","Obsolete","PNP","1A","200V","2.5V @ 5mA, 50mA","50µA","30 @ 50mA, 10V","1W","15MHz","-","Through Hole","TO-205AD, TO-39-3 Metal Can","TO-39"
//media.digikey.com/pdf/Data%20Sheets/ST%20Microelectronics%20PDFS/2N1711.pdf,//media.digikey.com/photos/STMicro%20Photos/TO-39.jpg,497-2594-5-ND,2N1711,STMicroelectronics,TRANS NPN 50V 0.5A TO-39,0,0,"Call","0","1500","Tube","-","Obsolete","NPN","500mA","50V","1.5V @ 15mA, 150mA","10nA (ICBO)","35 @ 100mA, 10V","800mW","100MHz","175°C (TJ)","Through Hole","TO-205AD, TO-39-3 Metal Can","TO-39"
//media.digikey.com/pdf/Data%20Sheets/ST%20Microelectronics%20PDFS/2N2222.pdf,//media.digikey.com/photos/STMicro%20Photos/TO-39.jpg,497-2595-5-ND,2N2219A,STMicroelectronics,TRANS NPN 30V 0.8A TO-39,0,0,"Call","0","1500","Tube","-","Obsolete","NPN","800mA","30V","1.6V @ 50mA, 500mA","100nA (ICBO)","100 @ 150mA, 10V","800mW","250MHz","175°C (TJ)","Through Hole","TO-205AD, TO-39-3 Metal Can","TO-39"
"//media.digikey.com/pdf/Data%20Sheets/ST%20Microelectronics%20PDFS/2N5415,%202N5416.pdf",//media.digikey.com/photos/STMicro%20Photos/TO-39.jpg,497-2596-5-ND,2N5416,STMicroelectronics,TRANS PNP 300V 1A TO-39,0,0,"Call","0","700","Tube","-","Obsolete","PNP","1A","300V","2.5V @ 5mA, 50mA","50µA","30 @ 50mA, 10V","1W","15MHz","-","Through Hole","TO-205AD, TO-39-3 Metal Can","TO-39"
"//media.digikey.com/pdf/Data%20Sheets/ST%20Microelectronics%20PDFS/2N3771,%202N3772.pdf",//media.digikey.com/photos/STMicro%20Photos/TO-3.jpg,497-2597-5-ND,2N3772,STMicroelectronics,TRANS NPN 60V 20A TO-3,0,0,"Call","0","500","Tube","-","Obsolete","NPN","20A","60V","4V @ 4A, 20A","10mA","15 @ 10A, 4V","150W","200kHz","-","Chassis Mount","TO-204AA, TO-3","TO-3"
"//media.digikey.com/pdf/Data%20Sheets/ST%20Microelectronics%20PDFS/2N2219A,%202N2222A.pdf",//media.digikey.com/Photos/STMicro%20Photos/2N2222A.jpg,497-2598-ND,2N2222A,STMicroelectronics,TRANS NPN 40V 0.6A TO-18,0,0,"Call","0","2000","Bulk","-","Obsolete","NPN","600mA","40V","1V @ 50mA, 150mA","10nA (ICBO)","100 @ 150mA, 10V","500mW","300MHz","175°C (TJ)","Through Hole","TO-206AA, TO-18-3 Metal Can","TO-18"
//media.digikey.com/pdf/Data%20Sheets/ST%20Microelectronics%20PDFS/BU208A_508A_508AFI.pdf,//media.digikey.com/Renders/STMicro%20Renders/TO-247-3.jpg,497-2599-5-ND,BU508A,STMicroelectronics,TRANS NPN 700V 8A TO-247,0,0,"Call","0","600","Tube","-","Obsolete","NPN","8A","700V","1V @ 2A, 4.5A","1mA","-","125W","7MHz","150°C (TJ)","Through Hole","TO-247-3","TO-247-3"
