-,JAN2N3772,polarity,NPN
-,JAN2N3772,ce_v_max,60
-,JAN2N3772,c_current_max,20.0
-,JAN2N3772,dev_dissipation,6.0
-,JAN2N3772,stg_temp_min,-65
-,JAN2N3772,stg_temp_max,200
-,JAN2N3772,dc_gain_min,60.0
-,JAN2N4399,polarity,PNP
-,JAN2N4399,ce_v_max,60
-,JAN2N4399,c_current_max,30.0
-,JAN2N4399,dev_dissipation,5.0
-,JAN2N4399,stg_temp_min,-55
-,JAN2N4399,stg_temp_max,200
-,JAN2N4399,dc_gain_min,60.0
-,JANTX2N4399,polarity,PNP
-,JANTX2N4399,ce_v_max,60
-,JANTX2N4399,c_current_max,30.0
-,JANTX2N4399,dev_dissipation,5.0
-,JANTX2N4399,stg_temp_min,-55
-,JANTX2N4399,stg_temp_max,200
-,JANTX2N4399,dc_gain_min,60.0
-,JANTXV2N4399,polarity,PNP
-,JANTXV2N4399,ce_v_max,60
-,JANTXV2N4399,c_current_max,30.0
-,JANTXV2N4399,dev_dissipation,5.0
-,JANTXV2N4399,stg_temp_min,-55
-,JANTXV2N4399,stg_temp_max,200
-,JANTXV2N4399,dc_gain_min,60.0
-,JANTX2N4931,polarity,PNP
-,JANTX2N4931,ce_v_max,250
-,JANTX2N4931,c_current_max,200.0
-,JANTX2N4931,dev_dissipation,1.0
-,JANTX2N4931,stg_temp_min,-65
-,JANTX2N4931,stg_temp_max,200
-,JANTX2N4931,dc_gain_min,250.0
-,JANTXV2N4931,polarity,PNP
-,JANTXV2N4931,ce_v_max,250
-,JANTXV2N4931,c_current_max,200.0
-,JANTXV2N4931,dev_dissipation,1.0
-,JANTXV2N4931,stg_temp_min,-65
-,JANTXV2N4931,stg_temp_max,200
-,JANTXV2N4931,dc_gain_min,250.0
-,JANS2N5004,polarity,NPN
-,JANS2N5004,ce_v_max,80
-,JANS2N5004,c_current_max,5.0
-,JANS2N5004,dev_dissipation,2.0
-,JANS2N5004,stg_temp_min,-65
-,JANS2N5004,stg_temp_max,200
-,JANS2N5004,dc_gain_min,80.0
-,JAN2N5038,polarity,NPN
-,JAN2N5038,ce_v_max,90
-,JAN2N5038,c_current_max,20.0
-,JAN2N5038,dev_dissipation,140.0
-,JAN2N5038,stg_temp_min,-65
-,JAN2N5038,stg_temp_max,200
-,JAN2N5038,dc_gain_min,90.0
-,JANTX2N5038,polarity,NPN
-,JANTX2N5038,ce_v_max,90
-,JANTX2N5038,c_current_max,20.0
-,JANTX2N5038,dev_dissipation,140.0
-,JANTX2N5038,stg_temp_min,-65
-,JANTX2N5038,stg_temp_max,200
-,JANTX2N5038,dc_gain_min,90.0
-,JANTXV2N5038,polarity,NPN
-,JANTXV2N5038,ce_v_max,90
-,JANTXV2N5038,c_current_max,20.0
-,JANTXV2N5038,dev_dissipation,140.0
-,JANTXV2N5038,stg_temp_min,-65
-,JANTXV2N5038,stg_temp_max,200
-,JANTXV2N5038,dc_gain_min,90.0
-,JANTX2N5039,polarity,NPN
-,JANTX2N5039,ce_v_max,75
-,JANTX2N5039,c_current_max,20.0
-,JANTX2N5039,dev_dissipation,140.0
-,JANTX2N5039,stg_temp_min,-65
-,JANTX2N5039,stg_temp_max,200
-,JANTX2N5039,dc_gain_min,75.0
-,JAN2N5302,polarity,NPN
-,JAN2N5302,ce_v_max,60
-,JAN2N5302,c_current_max,30.0
-,JAN2N5302,dev_dissipation,5.0
-,JAN2N5302,stg_temp_min,-65
-,JAN2N5302,stg_temp_max,200
-,JAN2N5302,dc_gain_min,60.0
-,JANTX2N5302,polarity,NPN
-,JANTX2N5302,ce_v_max,60
-,JANTX2N5302,c_current_max,30.0
-,JANTX2N5302,dev_dissipation,5.0
-,JANTX2N5302,stg_temp_min,-65
-,JANTX2N5302,stg_temp_max,200
-,JANTX2N5302,dc_gain_min,60.0
-,JANTXV2N5339U3,polarity,NPN
-,JANTXV2N5339U3,ce_v_max,100
-,JANTXV2N5339U3,c_current_max,5.0
-,JANTXV2N5339U3,dev_dissipation,1.0
-,JANTXV2N5339U3,stg_temp_min,-65
-,JANTXV2N5339U3,stg_temp_max,200
-,JANTXV2N5339U3,dc_gain_min,100.0
-,JANTX2N5660,polarity,NPN
-,JANTX2N5660,ce_v_max,200
-,JANTX2N5660,c_current_max,2.0
-,JANTX2N5660,dev_dissipation,2.0
-,JANTX2N5660,stg_temp_min,-65
-,JANTX2N5660,stg_temp_max,200
-,JANTX2N5660,dc_gain_min,200.0
-,JANTXV2N5666U3,polarity,NPN
-,JANTXV2N5666U3,ce_v_max,200
-,JANTXV2N5666U3,c_current_max,5.0
-,JANTXV2N5666U3,dev_dissipation,1.0
-,JANTXV2N5666U3,stg_temp_min,-65
-,JANTXV2N5666U3,stg_temp_max,200
-,JANTXV2N5666U3,dc_gain_min,200.0
-,JAN2N5671,polarity,NPN
-,JAN2N5671,ce_v_max,90
-,JAN2N5671,c_current_max,30.0
-,JAN2N5671,dev_dissipation,6.0
-,JAN2N5671,stg_temp_min,-65
-,JAN2N5671,stg_temp_max,200
-,JAN2N5671,dc_gain_min,90.0
-,JANTX2N5672,polarity,NPN
-,JANTX2N5672,ce_v_max,120
-,JANTX2N5672,c_current_max,30.0
-,JANTX2N5672,dev_dissipation,6.0
-,JANTX2N5672,stg_temp_min,-65
-,JANTX2N5672,stg_temp_max,200
-,JANTX2N5672,dc_gain_min,120.0
-,JANTXV2N5672,polarity,NPN
-,JANTXV2N5672,ce_v_max,120
-,JANTXV2N5672,c_current_max,30.0
-,JANTXV2N5672,dev_dissipation,6.0
-,JANTXV2N5672,stg_temp_min,-65
-,JANTXV2N5672,stg_temp_max,200
-,JANTXV2N5672,dc_gain_min,120.0
-,JAN2N5683,polarity,NPN
-,JAN2N5683,ce_v_max,60
-,JAN2N5683,c_current_max,50.0
-,JAN2N5683,dev_dissipation,300.0
-,JAN2N5683,stg_temp_min,-65
-,JAN2N5683,stg_temp_max,200
-,JAN2N5683,dc_gain_min,60.0
-,JANTX2N5745,polarity,PNP
-,JANTX2N5745,ce_v_max,80
-,JANTX2N5745,c_current_max,20.0
-,JANTX2N5745,dev_dissipation,5.0
-,JANTX2N5745,stg_temp_min,-55
-,JANTX2N5745,stg_temp_max,200
-,JANTX2N5745,dc_gain_min,80.0
-,JANS2N6193,polarity,PNP
-,JANS2N6193,ce_v_max,100
-,JANS2N6193,c_current_max,5.0
-,JANS2N6193,dev_dissipation,1.0
-,JANS2N6193,stg_temp_min,-65
-,JANS2N6193,stg_temp_max,200
-,JANS2N6193,dc_gain_min,100.0
-,JAN2N6211,polarity,PNP
-,JAN2N6211,ce_v_max,225
-,JAN2N6211,c_current_max,2.0
-,JAN2N6211,dev_dissipation,3.0
-,JAN2N6211,stg_temp_min,-55
-,JAN2N6211,stg_temp_max,200
-,JAN2N6211,dc_gain_min,225.0
-,JANTX2N6211,polarity,PNP
-,JANTX2N6211,ce_v_max,225
-,JANTX2N6211,c_current_max,2.0
-,JANTX2N6211,dev_dissipation,3.0
-,JANTX2N6211,stg_temp_min,-55
-,JANTX2N6211,stg_temp_max,200
-,JANTX2N6211,dc_gain_min,225.0
-,JANTX2N6212,polarity,PNP
-,JANTX2N6212,ce_v_max,300
-,JANTX2N6212,c_current_max,2.0
-,JANTX2N6212,dev_dissipation,3.0
-,JANTX2N6212,stg_temp_min,-55
-,JANTX2N6212,stg_temp_max,200
-,JANTX2N6212,dc_gain_min,300.0
-,JANTX2N6213,polarity,PNP
-,JANTX2N6213,ce_v_max,350
-,JANTX2N6213,c_current_max,2.0
-,JANTX2N6213,dev_dissipation,3.0
-,JANTX2N6213,stg_temp_min,-55
-,JANTX2N6213,stg_temp_max,200
-,JANTX2N6213,dc_gain_min,350.0
-,CEN1356,polarity,NPN
-,2SA1708T-YMH-AN,polarity,NPN
-,2SA1708T-YMH-AN,polarity,PNP
-,2SA1708T-YMH-AN,ce_v_max,100
-,2SA1708T-YMH-AN,c_current_max,1.0
-,2SA1708T-YMH-AN,stg_temp_max,1
-,2SA1708T-YMH-AN,dc_gain_min,100.0
-,BC846BWE6327HTSA1,polarity,NPN
-,BC846BWE6327HTSA1,ce_v_max,65
-,BC846BWE6327HTSA1,c_current_max,100.0
-,BC846BWE6327HTSA1,dev_dissipation,250.0
-,BC846BWE6327HTSA1,stg_temp_max,150
-,BC846BWE6327HTSA1,dc_gain_min,65.0
-,BCP 69US E6327,polarity,PNP
-,BCP 69US E6327,ce_v_max,20
-,BCP 69US E6327,c_current_max,1.0
-,BCP 69US E6327,dev_dissipation,1.0
-,BCP 69US E6327,dc_gain_min,20.0
-,2SB143400A,polarity,PNP
-,2SB143400A,ce_v_max,50
-,2SB143400A,c_current_max,2.0
-,2SB143400A,dev_dissipation,1.0
-,2SB143400A,stg_temp_max,150
-,2SB143400A,dc_gain_min,50.0
-,2SA11100Q,polarity,PNP
-,2SA11100Q,ce_v_max,120
-,2SA11100Q,c_current_max,500.0
-,2SA11100Q,dev_dissipation,1.0
-,2SA11100Q,stg_temp_max,150
-,2SA11100Q,dc_gain_min,120.0
-,2SA09000R,polarity,PNP
-,2SA09000R,ce_v_max,18
-,2SA09000R,c_current_max,1.0
-,2SA09000R,dev_dissipation,1.0
-,2SA09000R,stg_temp_max,150
-,2SA09000R,dc_gain_min,18.0
-,2SA09140R,polarity,PNP
-,2SA09140R,ce_v_max,150
-,2SA09140R,c_current_max,50.0
-,2SA09140R,dev_dissipation,1.0
-,2SA09140R,stg_temp_max,150
